model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,fips,bin_name,repetition,fold,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
xgboost,68,18,39,6.319055557250977,0.0026085376739501953,0.7393836859367906,47274.37065972223,70110.8424417253,4915530227.88843,1011,small,5,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.02341057776194453,300.0,0.7384030129454996,0.8540430188888325,6.0,0.08576499750593365,0.5328676005294025,0.1150175646399995,6.262625694274902
tabpfn,69,17,39,0.2729930877685547,0.13405680656433105,0.7571192287619245,49767.87109375003,71769.5005110214,5150861203.6015,1011,small,5,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.488822937011719,0.0025625228881835938,0.7503664302662812,48891.76918658085,72760.36192243786,5294070267.084146,1011,small,5,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.05071883120750792,300.0,0.9354704792735096,0.9837197921797393,8.0,0.29087699357559554,0.23900294326706528,0.8907494634286351,6.445584774017334
tabpfn,69,17,39,0.2722742557525635,0.1334691047668457,0.7355814331206942,68797.17991727946,120171.07723222408,14441087803.153166,1011,small,5,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.924441814422607,0.0025453567504882812,0.7669398148055284,56788.32663143386,112820.50110118784,12728465468.723127,1011,small,5,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.1333410776846764,400.0,0.7696285720713688,0.8783019461728286,5.0,0.1019342482275337,1.211325885855058,0.39710057100145507,6.8737757205963135
tabpfn,69,17,39,0.26706361770629883,0.13355422019958496,-0.21064975926054208,35967.052619485294,69606.3332680798,4845041631.026993,1011,small,5,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,7.705838203430176,0.00278472900390625,-0.34833914004446265,39701.508903952206,73457.99449197006,5396076954.782305,1011,small,5,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.13692543938844445,250.0,0.9075184558391268,0.8111768067586727,9.0,0.661586641666438,0.22906290407898555,0.051576149738600266,7.666368246078491
tabpfn,69,17,39,0.2703263759613037,0.13496780395507812,0.20093267324077924,167765.03170955894,272523.52108483866,74269069544.47852,1011,small,5,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.850153207778931,0.0025985240936279297,-0.04401866482135208,189887.6328125001,311506.0145913376,97035997126.57861,1011,small,5,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.06426394951773082,400.0,0.9764704373069294,0.9814599531714852,7.0,0.015589083986241365,2.152788715087331,1.1859257415116933,6.796284914016724
tabpfn,68,18,39,0.27224159240722656,0.13404273986816406,0.3515857021245534,107496.05555555565,191280.08570457352,36588071187.14899,1011,small,6,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,68,18,39,6.2968995571136475,0.0025501251220703125,0.29202071349112935,112367.09678819448,199872.82101472086,39949144580.38264,1011,small,6,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.045352632051371654,250.0,0.7032967567731313,0.8211073772364281,8.0,0.531930194968439,0.8598942630914826,1.1439762882722466,6.25886344909668
tabpfn,69,17,39,0.26739954948425293,0.13473820686340332,-0.11451709399115284,42636.720932904405,54021.033619769245,2918272073.348239,1011,small,6,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.672583341598511,0.002857208251953125,0.1320909315227916,35033.52734375,47671.26052595588,2272549080.1335588,1011,small,6,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.03068982122273443,300.0,0.9823139429952019,0.9003698836782448,8.0,0.07098282833405961,0.6125749960098388,0.15772890375652843,6.619295358657837
tabpfn,69,17,39,0.2753889560699463,0.13418078422546387,0.5390677905817985,55829.54974724268,92896.97265922738,8629847529.249239,1011,small,6,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.835761308670044,0.002632617950439453,0.8456834173052608,37887.36707261024,53751.34445003511,2889207030.1863203,1011,small,6,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.014983445881528789,200.0,0.7575935324553293,0.7062620006496838,7.0,0.22734111437237964,0.1683911296841981,0.5189749055113462,6.795320749282837
tabpfn,69,17,39,0.27109408378601074,0.13422775268554688,0.7334215767469687,76629.50741038608,145453.04431029357,21156588099.132225,1011,small,6,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,5.242976188659668,0.0025076866149902344,0.8113715052113477,70707.32709099262,122352.81551570402,14970211464.619902,1011,small,6,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.22695294316091189,150.0,0.723333482049839,0.8910154119882265,7.0,0.10971390036053659,0.6383754600315149,0.5497185957938366,5.215596675872803
tabpfn,69,17,39,0.26305413246154785,0.13653874397277832,0.32158746531259785,91111.90096507354,173973.09780351416,30266638759.351105,1011,small,6,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
