seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status,tune_time
400,500,full,500,39011,0,0,142689.73455884238,55161247538.71834,0.4853921598308619,1.0980905987872636,0.9222269375000006,0.7556155229401494,9.387338399887085,0.043364763259887695,success,9.153788328170776
400,600,full,600,39011,0,0,140914.94991737106,52712898146.50878,0.5082331913325517,1.1101147920016576,0.9310839285714293,0.7513691946325058,9.00891637802124,0.04343748092651367,success,8.763608455657959
400,700,full,700,39011,0,0,142973.5375859533,56542859777.93271,0.47250288480360103,1.1153039256714903,0.9274399509803927,0.7577698189424629,13.537743330001831,0.03263521194458008,success,13.39991021156311
400,800,full,800,39011,0,0,143087.93420966202,56954997372.96592,0.4686579892093947,1.0964959829875454,0.9186701041666671,0.7370798905423922,10.183090448379517,0.02658700942993164,success,10.051913261413574
400,900,full,900,39011,0,0,141110.08227747463,54720176232.57543,0.4895069825069709,1.1146547502828286,0.9294234775641028,0.754860644884734,9.731400966644287,0.025034427642822266,success,9.596585750579834
400,1000,full,1000,39011,0,0,141613.4692242252,55014812267.08421,0.48675827720896003,1.121673743611161,0.9287526408450705,0.7712677320299433,10.087084770202637,0.02735447883605957,success,9.926084280014038
400,2000,full,2000,39011,0,0,135830.49101915964,50118995711.56119,0.5324321097620327,1.1055510026438076,0.9196278437190892,0.7564993776270471,11.660701036453247,0.05318140983581543,success,11.173234224319458
400,3000,full,3000,39011,0,0,132249.44494741867,47547365323.36511,0.5564232488104018,1.1193130602609778,0.936608045212766,0.7464847620139816,12.364959478378296,0.05693483352661133,success,11.834019660949707
400,4000,full,4000,39011,0,0,132154.42482468885,47830324945.11954,0.5537834745793366,1.0964279596721487,0.9245197153141362,0.7195901804127484,13.723301649093628,0.055481910705566406,success,13.160101175308228
400,5000,full,5000,39011,0,0,131311.25520626392,47324758707.62418,0.5584999804806454,1.0893505220737096,0.9220219791666671,0.6974137225959975,13.951448440551758,0.053304433822631836,success,13.35730266571045
400,6000,full,6000,39011,0,0,131574.4761743883,47505031548.021614,0.5568181871714393,1.0793321801381006,0.9131464322381934,0.6927033067236683,15.017557382583618,0.05463528633117676,success,14.38379716873169
400,7000,full,7000,39011,0,0,130526.90799630233,46483476923.946724,0.5663484288205425,1.080450029917822,0.9134118923611113,0.6952293591927493,15.255972623825073,0.05614638328552246,success,14.650406122207642
400,8000,full,8000,39011,0,0,128667.6997567593,45217227664.956116,0.5781614646991735,1.1020518241382797,0.9332905555555548,0.7129639178040538,16.08527374267578,0.043410301208496094,success,15.561970472335815
400,9000,full,9000,39011,0,0,128897.3956526284,45364560859.823204,0.5767869704558634,1.088129155690376,0.9222410239361705,0.6993000114616132,15.931038618087769,0.04398322105407715,success,15.363219499588013
400,10000,full,10000,39011,0,0,128616.58072703052,44745949098.00336,0.5825580956000125,1.0793614265930696,0.9125748231132079,0.692374656476258,18.14135217666626,0.05669093132019043,success,17.53482937812805
500,25,full,25,39011,0,0,179650.43857021097,87104603256.4811,0.1873876362360294,1.0244597061623257,0.8333192806603777,0.7424207061697464,1.9917731285095215,0.012329578399658203,success,1.91209077835083
500,50,full,50,39011,0,0,177486.2191953872,90817300447.50642,0.15275130787281554,0.9570936575511341,0.7951026868081181,0.6603498982291651,2.102193593978882,0.010573625564575195,success,2.0244100093841553
500,75,full,75,39011,0,0,175921.44825618094,87654014547.92735,0.18226209302098073,0.9424270466629245,0.7938288871951219,0.6333331373629442,2.1576201915740967,0.010270118713378906,success,2.1231982707977295
500,100,full,100,39011,0,0,168682.08145739342,70571091810.75862,0.34163133077036545,1.1618174359786095,0.9299104842557258,0.9283825914727875,5.981211423873901,0.018139123916625977,success,5.831690788269043
500,200,full,200,39011,0,0,152523.7154686739,62903496688.75323,0.41316351579313904,1.1244085349838149,0.9227660490605434,0.7962942609845715,7.00207257270813,0.025149822235107422,success,6.904169321060181
500,300,full,300,39011,0,0,152339.93313204127,62340376144.24333,0.41841695475790686,1.041974647542374,0.8663032169117646,0.7053999210083451,7.783344268798828,0.03400087356567383,success,7.671484470367432
500,400,full,400,39011,0,0,150623.03357406406,61725087748.46484,0.4241570757044183,1.0443869772276575,0.8755688750000005,0.6914596088704535,8.62440299987793,0.028198719024658203,success,8.508692979812622
500,500,full,500,39011,0,0,148858.9813704388,60391758158.30814,0.4365959144044048,1.0196167569127532,0.8622091346153848,0.6630150316830835,9.001432418823242,0.028234481811523438,success,8.882396697998047
500,600,full,600,39011,0,0,144076.2456624814,56004588007.949905,0.4775245056938907,1.0182500971670858,0.8729965097402604,0.6493248391025624,10.388424634933472,0.06022953987121582,success,9.78847074508667
500,700,full,700,39011,0,0,146259.5840748443,58459768874.25951,0.4546197423099708,1.039827225851187,0.8796878073770492,0.6784928894180093,9.60084843635559,0.025439023971557617,success,9.454689741134644
500,800,full,800,39011,0,0,140328.90461784817,52872533935.164246,0.5067439242822367,1.0712141928014258,0.9052205492424239,0.7015246124776892,11.715797901153564,0.04591226577758789,success,11.46013331413269
500,900,full,900,39011,0,0,142250.2665804597,54952516093.41956,0.4873394478824091,1.0619565605238026,0.8965913306451613,0.6942760054082269,10.302952766418457,0.02732563018798828,success,10.158061027526855
