seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status
1400,75,full,75,39011,0,0,154034.32614438876,53855342467.148506,0.4975751509402411,1.28533071467106,1.0752131127450986,0.8609307152303471,0.4799356460571289,12.805463552474976,success
1400,100,full,100,39011,0,0,144214.9960505931,53576921145.32567,0.5001725866668302,1.086981739263316,0.9048659156976742,0.7626463211126063,0.5385580062866211,12.428466558456421,success
1400,200,full,200,39011,0,0,146920.7292792818,58270405787.23565,0.45638633994090205,1.0424876516975061,0.8733257936507938,0.7230706393999199,0.3529539108276367,16.012506246566772,success
1400,300,full,300,39011,0,0,138698.97147819685,50666202821.01834,0.5273271297028836,1.062420486225974,0.8888871366279067,0.7218559279961312,0.3752453327178955,17.285333395004272,success
1400,400,full,400,39011,0,0,140775.94049414748,53623747075.060005,0.4997357403002285,1.0891505713827412,0.907920707831326,0.7358232701377725,0.3931727409362793,18.73435068130493,success
1400,500,full,500,39011,0,0,143067.33854934346,54872089950.55574,0.4880897558525694,1.0217605782443548,0.8571560364464693,0.6821804139104894,0.41454434394836426,19.598676681518555,success
1400,600,full,600,39011,0,0,139524.30139596044,52178885122.524284,0.5132150817203999,1.043421113766374,0.8742579861111105,0.6968150269688761,0.44106149673461914,21.240986585617065,success
1400,700,full,700,39011,0,0,134778.10875898786,48622892279.12776,0.5463894909016416,1.0909946907583186,0.9136501388888884,0.727135637117972,0.450575590133667,22.849613666534424,success
1400,800,full,800,39011,0,0,132451.89696475834,46438095876.24926,0.5667717956583538,1.1055799470979049,0.9294507401315782,0.7342416945554786,0.4665670394897461,24.60588765144348,success
1400,900,full,900,39011,0,0,131201.21921401174,45368268005.764404,0.5767523859159713,1.1485552449847607,0.9662158970276004,0.7568673922012181,0.4899454116821289,26.18616032600403,success
1400,1000,full,1000,39011,0,0,130647.23794510683,45087648839.517586,0.5793703256743312,1.1551393982247005,0.9651841880341888,0.7703330860333754,0.5077862739562988,27.36861562728882,success
1400,2000,full,2000,39011,0,0,124818.01438897042,40590345306.29989,0.6213263683869208,1.1413913624816456,0.9593859374999991,0.742993175595954,0.7097585201263428,29.161705255508423,success
1400,3000,full,3000,39011,0,0,124808.17313165677,41396285786.03118,0.6138076245570556,1.133645823005953,0.9528791330645161,0.7299150976199288,0.9732387065887451,42.1956250667572,success
1400,4000,full,4000,39011,0,0,123273.52354143703,40100500998.31523,0.6258962019675371,1.143051094363685,0.9585541158536584,0.7396924550161365,1.2088756561279297,58.61859893798828,success
1400,5000,full,5000,39011,0,0,123326.35473928828,40346646301.42182,0.6235998742292903,1.115982167353208,0.9399885080645162,0.7127148417759653,1.650062084197998,76.54920959472656,success
1400,6000,full,6000,39011,0,0,123275.33774488285,40216639240.29262,0.6248127302816753,1.123581217857101,0.9427710000000005,0.7229486096983204,1.7552886009216309,95.38623023033142,success
1400,7000,full,7000,39011,0,0,122704.40193951706,39720652631.22614,0.6294398663424643,1.1269176214617926,0.9454191919191919,0.72670772540151,1.9515790939331055,119.81484007835388,success
1400,8000,full,8000,39011,0,0,122232.74131595095,39441767541.135994,0.6320416286352031,1.1325292003097385,0.9510984905660372,0.727040081117504,2.245501756668091,145.0255651473999,success
1400,9000,full,9000,39011,0,0,121871.84008957409,39161124622.3844,0.6346597899843667,1.1364913423024077,0.9547117334905665,0.7300847257948105,2.4275689125061035,173.00818610191345,success
1400,10000,full,10000,39011,0,0,121954.10015724732,39139400668.83351,0.6348624561189372,1.141481156136088,0.9568022321428578,0.738006757836861,2.66052508354187,202.634783744812,success
1500,25,full,25,39011,0,0,213358.9575951935,128105116194.88448,-0.19511251288131604,0.752226560366055,0.6394287605932202,0.5310644983897983,0.4206676483154297,12.180377960205078,success
1500,50,full,50,39011,0,0,186163.28709190196,92718984481.16852,0.13501020235195005,0.8184385628545358,0.6925926875000005,0.5804529079491022,0.4230811595916748,12.13983941078186,success
1500,75,full,75,39011,0,0,168834.48974928545,79042260095.2186,0.26260248698804545,0.8994302776623047,0.7611746710526317,0.5914937278756182,0.43853282928466797,12.46307635307312,success
1500,100,full,100,39011,0,0,160543.39513754935,67560127068.904274,0.36972108819551264,0.9292364307892018,0.7807234374999996,0.6308806828442234,0.4636509418487549,12.15604305267334,success
1500,200,full,200,39011,0,0,149936.68763698058,59863402839.23878,0.44152502318493614,0.9836434181596209,0.8285051624449347,0.6507913680998693,0.34052491188049316,15.794781923294067,success
1500,300,full,300,39011,0,0,143148.88292524865,54433456867.18287,0.49218183197000676,1.0282731998175085,0.8653827499999996,0.6888672735912442,0.35735154151916504,16.84456181526184,success
1500,400,full,400,39011,0,0,141704.54697292912,52711151092.33938,0.508249489872068,1.0101842777694008,0.848454795258621,0.6671043235832416,0.379988431930542,18.08355450630188,success
1500,500,full,500,39011,0,0,140319.47943228352,51745079361.32758,0.5172621229999805,1.0108193294800505,0.8494079293224296,0.6668585581035379,0.4108879566192627,19.46968722343445,success
1500,600,full,600,39011,0,0,138510.35789965492,51107967401.666954,0.5232058393613039,1.0374125800014988,0.8698604452054789,0.6873984511498241,0.42559289932250977,21.028950214385986,success
1500,700,full,700,39011,0,0,137779.71950459486,50006134088.75626,0.5334850133590527,1.051842302961263,0.8801253004807688,0.6980783888183374,0.4573347568511963,22.835126399993896,success
1500,800,full,800,39011,0,0,140310.56046331485,52055001472.93713,0.5143708115160607,1.062700140596009,0.8835404119318188,0.7065146366398835,0.4984705448150635,58.09869050979614,success
1500,900,full,900,39011,0,0,139583.25439219066,50993749972.791016,0.5242713914836026,1.0556117389559037,0.877200145348837,0.7077979934532486,0.5279407501220703,67.12175393104553,success
1500,1000,full,1000,39011,0,0,138112.27481311362,50256068272.69523,0.5311533385634275,1.063704186477792,0.8868539204545453,0.7035163924647946,0.5518033504486084,76.31512308120728,success
1500,2000,full,2000,39011,0,0,131134.16739269052,45512217610.76761,0.575409457707687,1.0587207315627538,0.8908022804054051,0.6892797810029532,0.7052664756774902,29.155887126922607,success
1500,3000,full,3000,39011,0,0,128671.92476541072,43669252682.323044,0.5926027635818631,1.0751595945572863,0.9005020276717562,0.6991635078155191,0.9751393795013428,42.16062021255493,success
1500,4000,full,4000,39011,0,0,128813.8646431455,43555448184.244225,0.5936644634086621,1.0663597105177482,0.8997581597222224,0.6862473921827652,1.2040441036224365,57.78431439399719,success
1500,5000,full,5000,39011,0,0,129675.47785079849,44394888178.75142,0.5858331974058089,1.047789267097864,0.8871372136118594,0.663539236399284,1.4591424465179443,76.53064441680908,success
1500,6000,full,6000,39011,0,0,129047.19604867056,44033391665.54816,0.589205654487343,1.049843983025987,0.8881118780339806,0.6706120861666415,1.675544023513794,95.67820692062378,success
1500,7000,full,7000,39011,0,0,129119.8275916969,44177111263.55312,0.5878648720500458,1.0474190854722958,0.8868538750000006,0.6663191742407131,1.9459774494171143,119.64025807380676,success
1500,8000,full,8000,39011,0,0,127324.12862217547,43111887360.01552,0.5978025111854053,1.0579337970979328,0.8951573863636361,0.6706523689074901,2.264277219772339,145.27518677711487,success
1500,9000,full,9000,39011,0,0,125457.9329003358,42003602021.73924,0.6081418771292441,1.0768309175310211,0.9121274193548393,0.6824561022753236,2.3955469131469727,172.6983289718628,success
1500,10000,full,10000,39011,0,0,125695.74539152418,42173232102.77497,0.6065593717740444,1.0695647347483452,0.9062289194915253,0.6780830268633183,2.617307424545288,202.84252643585205,success
1600,25,full,25,39011,0,0,189535.34770651627,107987302452.43445,-0.00743030588154725,0.9017053517252793,0.7847056249999999,0.6675414747105444,0.3758540153503418,11.707155466079712,success
1600,50,full,50,39011,0,0,182370.02609400233,102530471733.90944,0.04347731487626283,0.9349435098159727,0.7931968321917803,0.6391166224943343,0.4142284393310547,12.383420944213867,success
1600,75,full,75,39011,0,0,160907.840037906,74903077271.36241,0.3012175660171178,0.9882563646923878,0.8297997448979598,0.6608640381356075,0.4223477840423584,12.132366418838501,success
1600,100,full,100,39011,0,0,156222.58628776178,66815648750.110725,0.37666644198610966,0.990958994548373,0.8272932581018517,0.6633335668727715,0.4446830749511719,12.072117328643799,success
1600,200,full,200,39011,0,0,148123.02401125644,59694035514.44933,0.4431050772463303,1.1507584587531179,0.9560446428571434,0.7832708612977483,0.34532737731933594,15.31369948387146,success
1600,300,full,300,39011,0,0,144921.93184214068,52799878975.79682,0.507421733675351,1.249979866577883,1.0296504807692302,0.875092825995862,0.36086130142211914,16.777607679367065,success
1600,400,full,400,39011,0,0,141931.35571597595,52869418417.7646,0.5067729894276345,1.160061485083224,0.9610931962025318,0.8067345642823964,0.37784624099731445,18.096089601516724,success
