model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,seed,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,100,42306,82,0.3686556816101074,12.093290567398071,0.03859524573756368,209252.1476024382,1839346.734627705,3383196410185.6016,6,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,100,42306,82,0.3596789836883545,13.404608726501465,0.022504535992749153,203265.71110462316,1854675.1296904045,3439819836692.1187,7,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,100,42306,82,0.38914918899536133,12.06734824180603,0.03036992442288644,214630.7268247264,1847198.2643445875,3412141427797.6562,8,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,100,42306,82,0.39617156982421875,12.062447786331177,0.035313250089562764,209669.25366082825,1842483.5949127339,3394745797522.5513,9,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.283780574798584,22.409562349319458,0.02914398833787224,197441.43239544923,1848365.6330822948,3416455513559.713,0,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.2897794246673584,22.542645931243896,0.03191104430535341,204239.30465980002,1845729.7218076866,3406718205964.2803,1,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.2775590419769287,22.560230255126953,0.05689992613984396,217917.845702294,1821752.4504757323,3318781990814.336,2,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.2897324562072754,28.56451940536499,0.033130816249683726,202209.76232944205,1844566.5647780655,3402425811897.1533,3,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.28914928436279297,22.89068293571472,0.07985055141594588,208409.46361811858,1799449.479208542,3238018428223.8936,4,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.299832820892334,22.3417227268219,0.04048541168721731,202163.39258911266,1837537.7249169648,3376544890493.0146,5,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.29479002952575684,28.311304807662964,0.036627138114740165,190370.8827497134,1841228.4507052547,3390122207686.472,6,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.2814350128173828,21.609504461288452,0.0257298125737343,193247.6960286366,1851612.822520859,3428470044523.662,7,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.2762162685394287,22.159991025924683,0.03832510452996041,194186.7703118352,1839605.1317525823,3384147040770.4355,8,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,200,42306,82,0.2869408130645752,22.563537120819092,0.02843065746503104,203177.38095364723,1849044.546409341,3418965734606.1255,9,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,500,42306,82,0.3413112163543701,41.03017807006836,0.04355108901912175,188003.4966848674,1834599.882877306,3365756730253.4253,0,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,500,42306,82,0.33202457427978516,41.896188497543335,0.02241376789328331,196870.69439950894,1854761.2382376988,3440139250869.0415,1,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,500,42306,82,0.33878564834594727,40.84469652175903,0.03560355040790841,192988.36494343297,1842206.3474955105,3393724226752.7495,2,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,500,42306,82,0.3437623977661133,40.42291283607483,0.033510868706291386,192148.97125740143,1844204.0023087813,3401088402131.7275,3,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,500,42306,82,0.3510580062866211,42.21364116668701,0.08348962821683215,191143.4197904848,1795887.6544627848,3225212467451.843,4,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,500,42306,82,0.3438124656677246,41.422455072402954,0.04882037631803082,193827.53010285183,1829539.2962600659,3347214036559.777,5,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
