model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,seed,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
xgboost,100,39011,69,11.141605854034424,0.03355216979980469,0.1618600173660788,174219.7443030892,299734.7664353005,89840930210.02417,0,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,9.0,0.012855803898456282,200.0,0.6281391009523956,0.8912101550266425,8.0,2.2480581658871093e-06,0.8012521033297044,0.0076149821357342,11.089472532272339
xgboost,100,39011,69,16.5829336643219,0.06890630722045898,0.25968514142568677,168752.4041227955,281700.1470031728,79354972821.60916,1,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,5.0,0.06281758429012395,750.0,0.7645416565786425,0.7055240790189709,1.0,0.9529920435257844,0.36722742563968086,1.251268651802115e-06,16.452861547470093
xgboost,100,39011,69,14.999013423919678,0.02026987075805664,0.16539695201889604,172330.36408921523,299101.66032222647,89461803207.51253,2,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,3.0,0.1770509676278167,850.0,0.9248060499474775,0.7895301001248645,4.0,0.000743822852694552,4.131919632379821,1.9960333300849387,14.884046077728271
xgboost,100,39011,69,11.752350568771362,0.01247715950012207,0.024927323226267672,188246.08524078145,323293.7688118983,104518860952.60114,3,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,4.0,0.0435638065149674,250.0,0.9753338481548942,0.9824748426572415,8.0,0.05837177333173405,0.17809353246314913,1.8208401988056335,11.70626449584961
xgboost,100,39011,69,11.580230951309204,0.014430046081542969,0.13396320517253701,181537.3671568596,304682.1507573075,92831212990.09865,4,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,4.0,0.11363744134413654,450.0,0.8855774490520029,0.9707817577711031,9.0,0.009202297696982885,9.88669304983873,1.6786778748404412,11.510913848876953
xgboost,100,39011,69,10.067553043365479,0.03273940086364746,0.1422493348059295,172981.9048209159,303221.06750714127,91943015780.17032,5,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,7.0,0.010661223528944622,200.0,0.7675443347893829,0.9296016332181953,10.0,9.245645137815903e-06,0.10154595640453343,0.06432411447738155,10.015362977981567
xgboost,100,39011,69,10.921614646911621,0.019832134246826172,0.10907672011370417,179319.4305348171,309028.8275724107,95498816270.77875,6,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,4.0,0.010174528987204296,100.0,0.6023194806585227,0.8438054541826583,4.0,8.195876255996288e-08,0.15267893996526716,0.036287988941585685,10.887136459350586
xgboost,100,39011,69,11.718867540359497,0.014580011367797852,0.07558483957669582,176942.85273304326,314783.7974483741,99088839136.019,7,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,9.0,0.1268405298108708,500.0,0.9496606563368476,0.8529819600620638,9.0,0.00013750087211034532,2.910687564608535,1.8571529841713192,11.644958734512329
xgboost,100,39011,69,10.389469861984253,0.01045083999633789,0.1259991214865338,178069.70973090924,306079.8749082611,93684889823.85677,8,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,9.0,0.09983579042398186,200.0,0.9496606563368476,0.8529819600620638,9.0,4.549114983960508e-05,2.2241969240492496,1.8571529841713192,10.349120855331421
xgboost,100,39011,69,13.392610788345337,0.01787590980529785,0.3000442555390497,163461.76106498807,273913.9379606205,75028845409.09465,9,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,8.0,0.017017961362638553,500.0,0.6755715782460665,0.8042091902670139,9.0,4.256425589765618e-08,0.1312300518577356,1.9960068867604253,13.31588101387024
xgboost,200,39011,69,12.349106073379517,0.02126622200012207,0.2758694482251207,163896.8806340279,278603.95430300635,77620163353.27165,0,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,3.0,0.019293369292093028,250.0,0.8524022468206217,0.8561711433906498,8.0,1.4404846631306082e-06,2.193260843592443,0.10813083989286705,12.288946866989136
xgboost,200,39011,69,13.06831669807434,0.015874624252319336,0.41462082946922185,149916.56456572344,250494.08378078954,62747286009.177216,1,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,4.0,0.047962104378901624,100.0,0.6355687062341724,0.9415025604559947,2.0,4.621901426650064e-08,1.2640844327875789,0.3743769371625986,13.032240867614746
xgboost,200,39011,69,16.895650386810303,0.05230450630187988,0.32216981546990875,163509.37191973897,269549.9731344498,72657188016.78262,2,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,6.0,0.10235735929031183,450.0,0.7306326023839822,0.8614844786571851,2.0,2.890130318505617e-06,0.9545339256903476,8.74556754918008e-06,16.781460285186768
xgboost,200,39011,69,13.52556824684143,0.015184402465820312,0.17011602671784565,172179.53950728642,298254.86017571593,88955961618.43587,3,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,9.0,0.06575549958226183,400.0,0.9693244036336379,0.8096183749033755,10.0,0.002645186332599166,2.139578812106073,1.6787711556830232,13.460256338119507
xgboost,200,39011,69,12.705175399780273,0.0148773193359375,0.3107449052191926,167941.60205094397,271812.1295362433,73881833763.0275,4,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,8.0,0.1301214035984661,450.0,0.979240698371963,0.8626016965947656,7.0,0.0602380179694158,0.5899201743171594,1.2951445568440494,12.63318681716919
xgboost,200,39011,69,27.079691410064697,0.18239688873291016,0.26585622390690844,170850.07669421364,280523.59846576204,78693489296.1801,5,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,7.0,0.012255422976610761,750.0,0.6947262229918516,0.6757635268551273,1.0,1.43485784501633e-05,0.25115941882962084,3.1910746368956315e-05,26.798431396484375
xgboost,200,39011,69,12.025002241134644,0.03146815299987793,0.3345966663292421,162307.6858770603,267067.67571788956,71325143413.35582,6,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,6.0,0.03488479035433727,100.0,0.8633135031159628,0.6732074307445012,8.0,8.093901159738331e-08,2.01333055151738,2.653000336001631e-07,11.984296321868896
xgboost,200,39011,69,13.926251649856567,0.01769089698791504,0.2951986923063362,158425.91217541206,274860.410773491,75548245410.57222,7,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,3.0,0.17718263277079507,650.0,0.688605092501897,0.9581473038603016,7.0,0.761244328688006,0.2867355392327694,1.7913141978479123,13.827949285507202
xgboost,200,39011,69,13.864150762557983,0.014429807662963867,0.34364430578313,160643.637163236,265245.77154932654,70355319324.79753,8,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,9.0,0.05192545113847507,400.0,0.9551447212985104,0.7824927945666315,10.0,0.006032176993200998,1.4014640289440803,1.9315323315279205,13.79705262184143
