fips,filename,row_count,file_size_bytes,file_size_mb
17031,fips_17031.csv,211528,185225938,176.65
17033,fips_17033.csv,1865,1553359,1.48
17035,fips_17035.csv,905,755039,0.72
17037,fips_17037.csv,5159,4259202,4.06
17039,fips_17039.csv,1390,1147885,1.09
17041,fips_17041.csv,1936,1690428,1.61
17043,fips_17043.csv,57425,50017175,47.7
17045,fips_17045.csv,1190,983923,0.94
17047,fips_17047.csv,182,153531,0.15
17049,fips_17049.csv,2211,1889985,1.8
17051,fips_17051.csv,788,669012,0.64
17053,fips_17053.csv,1114,958220,0.91
17057,fips_17057.csv,2305,1886371,1.8
17059,fips_17059.csv,195,164765,0.16
17063,fips_17063.csv,4352,3646211,3.48
17065,fips_17065.csv,345,279964,0.27
17067,fips_17067.csv,1698,1402981,1.34
17069,fips_17069.csv,58,49578,0.05
17071,fips_17071.csv,324,274340,0.26
17073,fips_17073.csv,3551,3058401,2.92
17075,fips_17075.csv,2235,1858189,1.77
17077,fips_17077.csv,2200,1822639,1.74
17079,fips_17079.csv,707,578149,0.55
17081,fips_17081.csv,1789,1472014,1.4
17083,fips_17083.csv,2104,1739642,1.66
17085,fips_17085.csv,2481,2010915,1.92
17087,fips_17087.csv,954,786757,0.75
17089,fips_17089.csv,33313,27724995,26.44
17091,fips_17091.csv,5458,4499842,4.29
17093,fips_17093.csv,5067,4192532,4.0
